      0.163896484454; 0;2;3;4;7;8;10
      0.163893516756; 1;3;6;7;9;10
      0.163847192377; 0;3;4;5
      0.163831155836; 0;1;2;5;6
      0.163821071941; 1;2;3;6;7;9
      0.163797587133; 5;6;7;8;9
      0.163757320754; 0;4;7;9
      0.163663190641; 1;3;6;9;10
      0.163467468495; 1;2;4;8
      0.163459386496; 2;4;8;9;10
      0.163392547983; 1;2;3;6;10
      0.163296229753; 0;2;4;5;8;9
      0.163274242540; 2;4;7;8;10
      0.163044852628; 3;6;7;8;10
      0.162992048644; 0;3;5;6;10
      0.162923103289; 2;3;5;9;10
      0.162913326994; 2;5;8;9;10
      0.162880701419; 2;4;5;10
      0.162859235846; 1;2;3;4;6;9
      0.162816858117; 3;4;8;9;10
      0.162773712014; 3;4;5;7;8
      0.162753919765; 0;1;2;3;5;7
      0.162741575207; 0;1;7;10
      0.162731505798; 0;2;3;6;7;9
      0.162699784510; 1;2;7
      0.162692557313; 2;3;4;6;8;9
      0.162680032802; 0;4;7;8
      0.162653537485; 0;1;3;7;9;10
      0.162649093133; 0;4;6;7
      0.162644463425; 0;4;8;9
      0.162602554036; 0;2;3;4;6;7
      0.162554466719; 3;4;5;8;9
      0.162547365048; 1;2;3;5;6;7
      0.162525915459; 0;5;6;7;8
      0.162521116950; 0;3;4;6;7;9
      0.162514203496; 0;1;3;4
      0.162423058370; 0;4;5;7
      0.162383149383; 1;5;7;8;9
      0.162381570444; 1;7;8;9;10
      0.162376512305; 0;3;7;8;10
      0.162291000056; 2;5;6;7;8
      0.162224257760; 1;2;3;4;6
      0.162149035481; 2;3;4;5;6
      0.162117091137; 2;3;4;6;7;9;10
      0.162057411251; 0;2;3;4;5;7;9
      0.162032525137; 0;2;3;5;6;8
      0.162012755731; 0;2;3;5;6;7;8;9
      0.161929171454; 2;4;7;8;9;10
      0.161905157872; 1;3;5;8;9
      0.161752047592; 1;2;3;5;6;10
      0.161726358756; 1;2;5;8;9
      0.161668681457; 3;4;6
      0.161597440046; 0;1;2;8;9
      0.161592525331; 0;3;5;9;10
      0.161585414169; 3;4;6;7;9;10
      0.161566492890; 0;1;3;5;8
      0.161564157937; 0;1;6;7;8
      0.161562906474; 6;7;8;10
      0.161530610705; 1;2;6;9
      0.161497872401; 1;2;4;7;8
      0.161457560540; 0;3;4;6;7;8
      0.161457179776; 1;2;3;4;7;9;10
      0.161439416623; 0;1;2;3;7;8
      0.161416914313; 2;3;4;5;7;9
      0.161389024040; 0;3;10
      0.161386463514; 2;4;6;7;9;10
      0.161353983163; 3;4;6;8
      0.161339950357; 0;1;2;3;4;9
      0.161269720488; 1;2;3;5;6
      0.161257946402; 2;3;5;6;8
      0.161253226357; 0;1;4;6
      0.161239909872; 0;1;7;8;9;10
      0.161202841756; 0;3;5;6;7;8;9
      0.161199672188; 1;2;3;6;8;9
      0.161159011439; 3;4;5;7;9
      0.161146607871; 1;2;3;7;9
      0.161146433717; 1;2;3;6;9
      0.161145144738; 0;2;3;6;10
      0.161060172630; 0;1;2;3;5;8;9
      0.161059347340; 1;2;3;9;10
      0.161028919987; 0;2;5;6
      0.161000179543; 0;1;3;5;6;10
      0.160991670722; 0;1;2;3;4;7;9
      0.160939744763; 0;2;3;4;5
      0.160909348284; 3;5;6;8
      0.160849110243; 1;2;3;10
      0.160806571919; 0;2;3;4;5;9
      0.160802287239; 1;2;3;7;8
      0.160761066305; 0;1;3;5;6;8;9
      0.160728126453; 0;3;4;6;9
      0.160696014390; 0;2;3;6;7;8
      0.160694145119; 0;2;5;7;8;9
      0.160664286342; 0;1;5;7;9
      0.160634022032; 1;3;7;8;9;10
      0.160633786351; 1;3;4;6;7
      0.160548482938; 0;2;3;5;7;9;10
      0.160511801845; 3;5;6;8;9
      0.160509650309; 1;3;4;8;9
      0.160429509075; 0;4;9
      0.160406381691; 0;5;9
      0.160395740771; 2;7;8;10
      0.160388750182; 1;2;7;8
      0.160378016458; 2;3;4;5;8;9
      0.160372187095; 1;3;10
      0.160331461871; 2;3;8;9;10
      0.160316446656; 0;1;2;3;7;8;9
      0.160301679458; 1;3;4;6;7;8
      0.160284045251; 1;3;4;7;9
      0.160282142400; 4;5;7;8;9
      0.160197754578; 0;1;3;6;8;10
      0.160181610225; 1;2;3;4;7;8;9
      0.160146571508; 1;2;5;6
      0.160116006999; 0;1;3;5;6;9
      0.160101608999; 0;1;3;8;10
      0.160080870256; 4;5;8
      0.160072330013; 2;3;5;7;8;9;10
      0.160070924922; 1;3;5;9
      0.160045159068; 4;8;9;10
      0.160041328718; 0;1;3;7;8;9;10
      0.160030535953; 0;2;3;5;6;8;9
      0.160018112450; 1;2;5;7
      0.160009986496; 3;6;8;10
      0.159982204777; 0;2;3;6;8;9;10
      0.159979092190; 1;3;5;6;7
      0.159970357755; 0;1;2;3;5;8
      0.159964893499; 2;3;5;8;9;10
      0.159922116520; 3;4;7;9;10
      0.159915222027; 0;2;4;8
      0.159911446505; 1;6;7;8
      0.159910451656; 2;6;8
      0.159881976842; 2;3;6;10
      0.159877767240; 0;2;3;4;7;8;9
      0.159854604955; 4;7;8;9;10
      0.159848409436; 2;3;7;8;9;10
      0.159813818752; 0;6;7;10
      0.159791745956; 1;2;8;9
      0.159758610929; 2;4;5;8;9
      0.159718296269; 3;4;5;6;7;9
      0.159701607683; 0;2;3;5;6;7
      0.159690433911; 1;3;4;7;8
      0.159662850809; 0;2;6;7;8;9
      0.159647649465; 0;1;2;4;8
      0.159613253862; 1;2;3;6;7;8
      0.159591515041; 0;8;9;10
      0.159585013371; 2;4;5;8;9;10
      0.159527767625; 1;2;3;5;7;8
      0.159521333435; 0;2;3;6;7;10
      0.159511006166; 1;3;9;10
      0.159497745716; 0;1;2;4;5
      0.159483589614; 0;2;3;4;7;9;10
      0.159443394285; 0;1;3;6;8;9;10
      0.159428975317; 2;3;5;6;7;8;9;10
      0.159360086867; 0;2;3;4;6;9
      0.159319564814; 0;3;5;7;8;9;10
      0.159248604989; 0;1;3;8;9;10
      0.159199279054; 5;7;8;9;10
      0.159196336221; 1;5;7;8
      0.159126829363; 0;2;5;8;9;10
      0.159111535570; 2;3;5;7;10
      0.159046950829; 2;3;4;6;10
      0.158960686263; 0;2;3;4;5;7;8;9
      0.158946771844; 0;1;2;3;5;9
      0.158945311638; 1;6;7;8;9
      0.158913565865; 0;4;5;7;9
      0.158888616421; 2;3;4;5;7;8
      0.158876605471; 0;2;3;9;10
      0.158836656796; 0;1;2;5;7;9
      0.158777215228; 0;1;2;5;10
      0.158677733670; 0;1;2;5;7;8;9
      0.158676331893; 1;2;3;8
      0.158661000401; 0;1;2;3;8;9
      0.158614584330; 1;2;6;7;8;9
      0.158575684498; 2;3;4;5;6;7
      0.158568499255; 0;2;7;9;10
      0.158487136530; 5;6;9
      0.158436131282; 1;2;4;5
      0.158424751857; 1;2;3;4;7;9
      0.158410778338; 2;3;5;6;7;8;9
      0.158407842292; 1;3;5;6;8
      0.158407035219; 1;2;4;8;9
      0.158390028185; 0;1;2;3;10
      0.158386820470; 1;2;3;6;7
      0.158370761225; 1;2;4;6
      0.158347826063; 2;3;6;7;8;9;10
      0.158346120423; 0;1;2;4;7;9
      0.158306130035; 2;3;5;6;7;10
      0.158301321464; 0;2;3;4;6;7;8;9
      0.158300853297; 0;1;5;7;8;9
      0.158279921779; 0;2;6;7;9;10
      0.158193236956; 2;3;4;5;6;8;9
      0.158163983459; 6;8;10
      0.158159905544; 1;2;9
      0.158150489335; 1;3;5;7;8;9;10
      0.158129385301; 2;3;6;8;9
      0.158119636137; 5;6;7;8
      0.158104590410; 4;7;9;10
      0.158037079754; 1;2;3;5;6;7;9
      0.158006877837; 0;1;3;6;7;8
      0.157976949761; 2;3;4;7;10
      0.157939351557; 0;4;7;8;9;10
      0.157937954212; 0;1;2;3;5;7;9
      0.157931106235; 3;5;6;7;8;9;10
      0.157911670653; 1;2;6;7;9
      0.157876319600; 2;6;7;9;10
      0.157842484665; 0;2;3;4;6;7;8
      0.157835456841; 2;3;4;5;6;7;9
      0.157832189845; 2;4;5;6;8
      0.157807001514; 0;1;4;7;8
      0.157799095813; 1;3;6;7;10
      0.157740460375; 0;2;3;4;5;7;8
      0.157645916904; 0;3;4;6;7;8;9
      0.157639122349; 1;3;6;8
      0.157626279791; 4;5;7;9
      0.157620055391; 0;2;5;8
      0.157606405785; 0;1;2;4;7;8
      0.157535998325; 3;4;7;8;10
      0.157474272677; 3;4;5;6;7
      0.157443224871; 0;1;6;10
      0.157436120327; 3;4;6;7;10
      0.157433292959; 1;2;3;5;6;9
      0.157418837983; 1;3;8;9;10
      0.157379444122; 1;2;3;5;8
      0.157317947802; 0;1;3;4;7;8;9
      0.157279626815; 0;3;5;6;7;9;10
      0.157237486433; 0;2;3;4;5;8;9
      0.157235164029; 1;6;7;9;10
      0.157216917055; 0;1;2;3;6;7;9
      0.157169212566; 0;2;3;7;10
      0.157128014187; 0;2;3;4;6;7;8;9;10
      0.157114571587; 0;3;5;6;8
      0.157108817551; 0;1;3;5;6;7;8;9
      0.157101773554; 0;1;2;5;7;8
      0.157101361742; 0;1;5;10
      0.157084457161; 0;1;2;4;5;7
      0.157057780016; 0;2;5;6;7;8
      0.157052845403; 1;4;7;8;9
      0.157029687775; 1;7;9;10
      0.156987738441; 1;2;3;5;9
      0.156962342165; 0;3;5;6;7;8
      0.156961249018; 2;4;5;7;8;9
      0.156922134531; 1;6;7;10
      0.156889952144; 0;2;4;5;7;8
      0.156874327821; 0;2;3;5;7;10
      0.156797036388; 0;1;6;8
      0.156765291421; 2;3;4;6;9;10
      0.156752786136; 4;6;8;9
      0.156747239203; 3;6;8;9;10
      0.156669350913; 2;3;7;8;10
